1: "'.' forventet"
2: "BEGIN forventet"
3: "Ulovlig resultattype"
4: "Dubleret identifier"
5: "Absolutte variable tillades ikke i poster"
6: "Typeidentifier forventet"
7: "Filer m} kun v{re VAR parametre"
8: "Fejlagtig eller ukendt type"
9: "END forventet"
10: "M{ngdes grundtype er for stor"
11: "Filelementer m} ikke v{re filer"
12: "Ulovlig strengl{ngde"
13: "Ulovlig grundtype for delinterval"
14: "'..' forventet"
15: "Uens typer i intervalgr{nser"
16: "\vre gr{nse st|rre end nedre"
17: "Fejlagtig eller ukendt simpel type"
18: "Simpel type forventet"
19: "Ukendt pointertype i typedefinition(er)"
20: "Udefineret label i s{tningsdel"
21: "Ulovlig GOTO i s{tningsdel"
22: "Label er allerede defineret"
23: "THEN forventet"
24: "DO forventet"
25: "Fejlagtig eller ukendt variabelidentifier"
26: "Variabeltype er ikke en simpel type"
27: "Uens typer i FOR s{tnings udtryk"
28: "TO eller DOWNTO forventet"
29: "Konstant er ikke af samme type som CASE udtryk"
30: "END eller OTHERWISE forventet"
31: "Ukendt label"
32: "For mange nestede WITH s{tninger"
33: "Postvariabel forventet"
34: "Fejlagtig eller ukendt variabel"
35: "Ulovlig tilskrivning"
36: "Uens typer i tilskrivning eller parameterliste"
37: "Udtryk er ikke af typen integer"
38: "Udtryk er ikke af typen boolean"
39: "Udtryk er ikke af en simpel type"
40: "Udtryk er ikke af en strengtype"
41: "Uens typer i udtryk"
42: "Operandtype(r) stemmer ikke overens med operator"
43: "Strukturerede variable tillades ikke her"
44: "Uens typer i m{ngde"
45: "Syntaksfejl eller ukendt identifier i udtryk"
46: "Konstanter tillades ikke her"
47: "Udtrykstype er forskellig fra indextype"
48: "Fejlagtig eller ukendt feltidentifier"
49: "Fejlagtig eller ukendt konstant"
50: "Integer konstant forventet"
51: "Integer eller real konstant forventet"
52: "Strengkonstant ikke afsluttet"
53: "Fejl i integer konstant"
54: "Fejl i real konstant"
55: "Ulovligt tegn i identifier"
56: "'[' eller '(.' forventet"
57: "']' eller '.)' forventet"
58: "':' forventet"
59: "';' forventet"
60: "Syntaksfejl eller ukendt identifier i s{tning"
61: "',' forventet"
62: "'(' forventet"
63: "')' forventet"
64: "'=' forventet"
65: "':=' forventet"
66: "OF forventet"
67: "Programmet kan ikke slutte her"
68: "Fil findes ikke"
69: "Buffer overflow"
70: "Memory overflow"
71: "Variable af denne type kan ikke indl{ses"
72: "Variable af denne type kan ikke udl{ses"
73: "Tekstfil forventet"
74: "Filvariabel forventet"
75: "Tekstfiler tillades ikke her"
76: "Typel|se filer tillades ikke her"
77: "Strengkonstant forventet"
78: "Strengl{ngde stemmer ikke overens med type"
79: "Fejlagtig r{kkef|lge af feltkonstanter"
80: "Uens typer i struktureret konstant"
81: "Konstant udenfor tilladte gr{nser"
82: "Filer og pointere tillades ikke her"
83: "Fejlagtig brug af retype-facilitet"
84: "Integer eller real udtryk forventet"
85: "Strengvariabel forventet"
86: "Tekstfiler og typel|se filer tillades ikke her"
87: "Typel|s fil forventet"
88: "Pointervariabel forventet"
89: "Integer eller real variabel forventet"
90: "Integer variabel forventet"
91: "Reserveret ord"
92: "Label er ikke indenfor denne blok"
93: "Procedure eller funktion er ikke defineret korrekt"
94: "Fejl i CODE s{tning"
95: "Ulovlig brug af AT specifikation"
96: "Overlays tillades kun i programfiler"
97: "Overlays kan ikke forward-erkl{res"
98: "PROCEDURE eller FUNCTION forventet"
99: "Kan ikke }bne overlay-fil"
100: "Fejl i EXTERNAL fil"
101: "Nestede include-filer tillades ikke"
102: "Fejl i compilerdirektiv"
