1: "'.' expected"
2: "BEGIN expected"
3: "Illegal result type"
4: "Duplicate identifier"
5: "Absolute variables are not allowed in records"
6: "Type identifier expected"
7: "Files may only be VAR parameters"
8: "Invalid or unknown type"
9: "END expected"
10: "Base type of set is too large"
11: "File components may not be files"
12: "Illegal string length"
13: "Illegal subrange base type"
14: "'..' expected"
15: "Type mismatch in subrange bounds"
16: "Upper bound greater than lower bound"
17: "Invalid or unknown simple type"
18: "Simple type expected"
19: "Unknown pointer type in type definition(s)"
20: "Undefined label in statement part"
21: "Illegal GOTO in statement part"
22: "Label already defined"
23: "THEN expected"
24: "DO expected"
25: "Invalid or unknown variable identifier"
26: "Variable type is not a simple type"
27: "Type mismatch in FOR statement expression"
28: "TO or DOWNTO expected"
29: "Constant is not of same type as CASE expression"
30: "END or OTHERWISE expected"
31: "Unknown label"
32: "Too many nested WITH statements"
33: "Record variable expected"
34: "Invalid or unknown variable"
35: "Illegal assignment"
36: "Type mismatch in assignment or parameter list"
37: "Expression is not of type integer"
38: "Expression is not of type boolean"
39: "Expression is not of a simple type"
40: "Expression is not of a string type"
41: "Type mismatch in expression"
42: "Operand type(s) do not match operator"
43: "Structured variables are not allowed here"
44: "Type mismatch in set"
45: "Syntax error or unknown identifier in expression"
46: "Constants are not allowed here"
47: "Expression type differs from index type"
48: "Invalid or unknown field identifier"
49: "Invalid or unknown constant"
50: "Integer constant expected"
51: "Integer or real constant expected"
52: "String constant not terminated"
53: "Error in integer constant"
54: "Error in real constant"
55: "Illegal character in identifier"
56: "'[' or '(.' expected"
57: "']' or '.)' expected"
58: "':' expected"
59: "';' expected"
60: "Syntax error or unknown identifier in statement"
61: "',' expected"
62: "'(' expected"
63: "')' expected"
64: "'=' expected"
65: "':=' expected"
66: "OF expected"
67: "Program cannot end here"
68: "File not found"
69: "Buffer overflow"
70: "Memory overflow"
71: "Variables of this type cannot be input"
72: "Variables of this type cannot be output"
73: "Text file expected"
74: "File variable expected"
75: "Text files are not allowed here"
76: "Untyped files are not allowed here"
77: "String constant expected"
78: "String length does not match type"
79: "Invalid order of field constants"
80: "Type mismatch in structured constant"
81: "Constant out of allowed range"
82: "Files and pointers are not allowed here"
83: "Invalid use of retype facility"
84: "Integer or real expression expected"
85: "String variable expected"
86: "Text files and untyped files are not allowed here"
87: "Untyped file expected"
88: "Pointer variable expected"
89: "Integer or real variable expected"
90: "Integer variable expected"
91: "Reserved word"
92: "Label is not within this block"
93: "Procedure or function is not correctly defined"
94: "Error in CODE statement"
95: "Illegal use of AT specification"
96: "Overlays are only allowed in program files"
97: "Overlays cannot be forward declared"
98: "PROCEDURE or FUNCTION expected"
99: "Cannot open overlay file"
100: "Error in EXTERNAL file"
101: "Nested include files are not allowed"
102: "Error in compiler directive"
